类别,虚拟机,厂商是否独有,任务视角的故障等级,HAS级别,中文,项目,是有有感,对业务影响,来源,时效,影响,恢复方案,是否客户有感/需要通知客户操作维修,危害等级(云),是否推送事件中心,客户有感case,手动判断方法
GPU,有,NVIDIA,WARN,WARN,,xid63,无,无,带内,20s,ECC page retirement or row remapping recording event，ECC页面隔离记录事件,无需处理；正常硬件维护流程,否,P2,是,,"nvidia-smi -q | grep -A 10 ""Retired Pages""; dmesg | grep -i ""xid.*63"""
GPU,有,NVIDIA,FATAL,ERROR,NVIDIA卡ECC页面隔离映射记录失败,xid64,有,中断,带内,20s,ECC page retirement or row remapper recording failure，隔离记录失败,重启机器；持续发生则换卡,是,P0,是,,"dmesg | grep -i ""xid.*64""; nvidia-smi -q | grep -i ""remapping.*failure"""
GPU,有,NVIDIA,WARN,WARN,,xid65,无,无,带内,20s,Video processor exception，视频处理器异常（数据中心卡通常无视频编码需求）,无需处理,否,P2,是,,"dmesg | grep -i ""xid.*65""; nvidia-smi -q -d VIDEO"
GPU,有,NVIDIA,WARN,WARN,,xid66-67,无,无,带内,20s,Illegal access by driver，驱动非法访问,无需处理；检查驱动版本/内核兼容性,否,P2,是,,"dmesg | grep -i ""xid.*6[6-7]""; lsmod | grep nvidia"
GPU,有,NVIDIA,WARN,WARN,,xid68,无,无,带内,20s,NVDEC0 Exception，视频解码引擎0异常,无需处理；数据中心卡通常不使用NVDEC,否,P2,是,,"dmesg | grep -i ""xid.*68""; nvidia-smi -q -d VIDEO"
GPU,有,NVIDIA,WARN,WARN,,xid69,无,无,带内,20s,Graphics Engine class error，图形引擎类错误,无需处理；检查任务/驱动,否,P2,是,,"dmesg | grep -i ""xid.*69""; nvidia-smi -q | grep -i ""graphics engine"""
GPU,有,NVIDIA,WARN,WARN,,xid70-72,无,无,带内,20s,CEx: Unknown Error，Copy Engine未知错误,无需处理；持续发生则关注,否,P2,是,,"dmesg | grep -i ""xid.*7[0-2]""; nvidia-smi -q | grep -i ""copy engine"""
GPU,有,NVIDIA,WARN,WARN,,xid73,无,无,带内,20s,NVENC2 Error，视频编码引擎2异常,无需处理；数据中心卡通常不使用NVENC,否,P2,是,,"dmesg | grep -i ""xid.*73""; nvidia-smi -q -d VIDEO"
GPU,有,NVIDIA,ERROR,ERROR,NVIDIA卡NVLINK错误,xid74,有,降速,带内,20s,NVLINK Error，NVLink通信错误,重启机器；检查NVLink线缆/升级驱动,是,P1,是,,"nvidia-smi nvlink -e; dmesg | grep -i ""xid.*74"""
GPU,有,NVIDIA,WARN,WARN,,xid75-77,无,无,带内,20s,CEx: Unknown Error，Copy Engine未知错误,无需处理；持续发生则关注,否,P2,是,,"dmesg | grep -i ""xid.*7[5-7]""; nvidia-smi -q | grep -i ""copy engine"""
GPU,有,NVIDIA,WARN,WARN,,xid78,无,无,带内,20s,vGPU Start Error，vGPU启动错误（物理卡通常不使用vGPU）,无需处理,否,P2,是,,"dmesg | grep -i ""xid.*78""; nvidia-smi -q | grep -i ""vGPU"""
GPU,有,NVIDIA,ERROR,ERROR,NVIDIA卡掉卡,xid79,有,中断,带内,20s,GPU has fallen off the bus，GPU从总线掉线,重启机器；检查PCIe插槽/供电/换卡,是,P0,是,,"lspci | grep -i nvidia; nvidia-smi; dmesg | grep -i ""xid.*79|fallen off"""
GPU,有,NVIDIA,WARN,WARN,,xid80,无,无,带内,20s,Corrupted data sent to GPU，发送到GPU的数据损坏,无需处理；检查任务数据传输逻辑,否,P2,是,,"dmesg | grep -i ""xid.*80""; 检查任务日志"
GPU,有,NVIDIA,WARN,WARN,,xid81,无,无,带内,20s,VGA Subsystem Error，VGA子系统错误（数据中心卡无VGA输出）,无需处理,否,P2,是,,"dmesg | grep -i ""xid.*81""; nvidia-smi -q -d DISPLAY"
GPU,有,NVIDIA,WARN,WARN,,xid82,无,无,带内,20s,NVJPG0 Error，JPEG解码引擎异常,无需处理；数据中心卡通常不使用NVJPG,否,P2,是,,"dmesg | grep -i ""xid.*82""; nvidia-smi -q -d VIDEO"
GPU,有,NVIDIA,WARN,WARN,,xid83-84,无,无,带内,20s,NVDEC1 Error，视频解码引擎1异常,无需处理；数据中心卡通常不使用NVDEC,否,P2,是,,"dmesg | grep -i ""xid.*8[3-4]""; nvidia-smi -q -d VIDEO"
GPU,有,NVIDIA,WARN,WARN,,xid85,无,无,带内,20s,CE9: Unknown Error，Copy Engine 9未知错误,无需处理；持续发生则关注,否,P2,是,,"dmesg | grep -i ""xid.*85""; nvidia-smi -q | grep -i ""copy engine"""
GPU,有,NVIDIA,WARN,WARN,,xid86,无,无,带内,20s,OFA Exception，Optical Flow Accelerator异常（通常不使用）,无需处理,否,P2,是,,"dmesg | grep -i ""xid.*86""; nvidia-smi -q -d VIDEO"
GPU,有,NVIDIA,WARN,WARN,,xid87,无,无,带内,20s,Reserved，保留未使用,无需处理,否,P2,是,,"dmesg | grep -i ""xid.*87""; 参考NVIDIA XID文档"
GPU,有,NVIDIA,WARN,WARN,,xid88,无,无,带内,20s,NVDEC3 Error，视频解码引擎3异常,无需处理；数据中心卡通常不使用NVDEC,否,P2,是,,"dmesg | grep -i ""xid.*88""; nvidia-smi -q -d VIDEO"
GPU,有,NVIDIA,WARN,WARN,,xid89,无,无,带内,20s,NVDEC4 Error，视频解码引擎4异常,无需处理；数据中心卡通常不使用NVDEC,否,P2,是,,"dmesg | grep -i ""xid.*89""; nvidia-smi -q -d VIDEO"
GPU,有,NVIDIA,WARN,WARN,,xid90-91,无,无,带内,20s,Reserved，保留未使用,无需处理,否,P2,是,,"dmesg | grep -i ""xid.*9[0-1]""; 参考NVIDIA XID文档"
GPU,有,NVIDIA,WARN,WARN,,xid92,无,无,带内,20s,High single-bit ECC error rate，单比特ECC错误率高,无需处理；持续高发则关注硬件健康,否,P2,是,,"nvidia-smi -q -d ECC | grep -i ""single""; watch -n 60 'nvidia-smi -q -d ECC'"
GPU,有,NVIDIA,WARN,WARN,,xid93,无,无,带内,20s,Non-fatal violation of provisioned InfoROM wear limit，InfoROM磨损非致命告警,无需处理；关注InfoROM健康度,否,P2,是,,"nvidia-smi -q | grep -i ""inforom""; nvidia-smi -q -d SUPPORTED_CLOCKS"
GPU,有,NVIDIA,WARN,WARN,,xid94,无,无,带内,20s,Contained ECC error，已隔离的ECC错误,无需处理；硬件自动隔离机制正常工作,否,P2,是,,"nvidia-smi -q -d ECC | grep -i ""contained""; nvidia-smi -q | grep -A 10 ""Retired Pages"""
GPU,有,NVIDIA,FATAL,ERROR,NVIDIA卡未隔离ECC错误,xid95,有,中断,带内,20s,Uncontained ECC error，未隔离的ECC错误，可能影响计算结果,重启机器；持续发生则换卡,是,P0,是,,"nvidia-smi -q -d ECC | grep -i ""uncontained""; dmesg | grep -i ""xid.*95"""
GPU,有,NVIDIA,WARN,WARN,,xid96-105,无,无,带内,20s,NVDEC7 Error，视频解码引擎7异常,无需处理；数据中心卡通常不使用NVDEC,否,P2,是,,"dmesg | grep -i ""xid.*9[6-9]|xid.*10[0-5]""; nvidia-smi -q -d VIDEO"
GPU,有,NVIDIA,WARN,WARN,,xid106-108,无,无,带内,20s,Test and Reserved，测试/保留未使用,无需处理,否,P2,是,,"dmesg | grep -i ""xid.*10[6-8]""; 参考NVIDIA XID文档"
GPU,有,NVIDIA,ERROR,ERROR,NVIDIA卡Context切换超时错误,xid109,有,中断,带内,20s,Context Switch Timeout Error，上下文切换超时,重启机器；检查任务调度/驱动版本,是,P1,是,,"dmesg | grep -i ""xid.*109""; nvidia-smi -q | grep -i ""context switch"""
GPU,有,NVIDIA,WARN,WARN,,xid110,无,无,带内,20s,Security Fault Error，安全故障错误,无需处理；检查安全策略/驱动,否,P2,是,,"dmesg | grep -i ""xid.*110""; nvidia-smi -q | grep -i ""security"""
GPU,有,NVIDIA,WARN,WARN,,xid111,无,无,带内,20s,Display Bundle Error Event，显示捆绑错误事件,无需处理；数据中心卡无显示输出,否,P2,是,,"dmesg | grep -i ""xid.*111""; nvidia-smi -q -d DISPLAY"
GPU,有,NVIDIA,WARN,WARN,,xid112,无,无,带内,20s,Display Supervisor Error，显示监控器错误,无需处理；数据中心卡无显示输出,否,P2,是,,"dmesg | grep -i ""xid.*112""; nvidia-smi -q -d DISPLAY"
GPU,有,NVIDIA,WARN,WARN,,xid113,无,无,带内,20s,DP Link Training Error，DisplayPort链路训练错误,无需处理；数据中心卡无DP输出,否,P2,是,,"dmesg | grep -i ""xid.*113""; nvidia-smi -q -d DISPLAY"
GPU,有,NVIDIA,WARN,WARN,,xid114,无,无,带内,20s,Display Pipeline Underflow Error，显示流水线下溢错误,无需处理；数据中心卡无显示输出,否,P2,是,,"dmesg | grep -i ""xid.*114""; nvidia-smi -q -d DISPLAY"
GPU,有,NVIDIA,WARN,WARN,,xid115,无,无,带内,20s,Display Core Channel Error，显示核心通道错误,无需处理；数据中心卡无显示输出,否,P2,是,,"dmesg | grep -i ""xid.*115""; nvidia-smi -q -d DISPLAY"
GPU,有,NVIDIA,WARN,WARN,,xid116,无,无,带内,20s,Display Window Channel Error，显示窗口通道错误,无需处理；数据中心卡无显示输出,否,P2,是,,"dmesg | grep -i ""xid.*116""; nvidia-smi -q -d DISPLAY"
GPU,有,NVIDIA,WARN,WARN,,xid117,无,无,带内,20s,Display Cursor Channel Error，显示光标通道错误,无需处理；数据中心卡无显示输出,否,P2,是,,"dmesg | grep -i ""xid.*117""; nvidia-smi -q -d DISPLAY"
GPU,有,NVIDIA,WARN,WARN,,xid118,无,无,带内,20s,Display Pixel Pipeline Error，显示像素流水线错误,无需处理；数据中心卡无显示输出,否,P2,是,,"dmesg | grep -i ""xid.*118""; nvidia-smi -q -d DISPLAY"
GPU,有,NVIDIA,WARN,WARN,,xid119,无,无,带内,20s,GSP RPC Timeout，GSP远程过程调用超时,无需处理；持续发生则重启fabricmanager,否,P2,是,,"dmesg | grep -i ""xid.*119""; systemctl status nvidia-fabricmanager"
GPU,有,NVIDIA,WARN,WARN,,xid120,无,无,带内,20s,GSP Error，GSP通用错误,无需处理；持续发生则关注,否,P2,是,,"dmesg | grep -i ""xid.*120""; nvidia-smi -q | grep -i ""GSP"""
GPU,有,NVIDIA,WARN,WARN,,xid121,无,无,带内,20s,Reserved，保留未使用,无需处理,否,P2,是,,"dmesg | grep -i ""xid.*121""; 参考NVIDIA XID文档"
GPU,有,NVIDIA,WARN,WARN,,xid122,无,无,带内,20s,,无需处理,否,P2,是,,"dmesg | grep -i ""xid.*122""; 参考NVIDIA XID文档"
GPU,有,NVIDIA,WARN,WARN,,xid123,无,无,带内,20s,,无需处理,否,P2,是,,"dmesg | grep -i ""xid.*123""; 参考NVIDIA XID文档"
GPU,有,NVIDIA,WARN,WARN,,xid124,无,无,带内,20s,,无需处理,否,P2,是,,"dmesg | grep -i ""xid.*124""; 参考NVIDIA XID文档"
GPU,有,NVIDIA,WARN,WARN,,xid125,无,无,带内,20s,Inforom FS Failure，InfoROM文件系统失败,无需处理；持续发生则关注硬件健康,否,P2,是,,"nvidia-smi -q | grep -i ""inforom""; dmesg | grep -i ""xid.*125"""
GPU,有,NVIDIA,WARN,WARN,,xid126-139,无,无,带内,20s,Reserved，保留未使用,无需处理,否,P2,是,,"dmesg | grep -i ""xid.*12[6-9]|xid.*13[0-9]""; 参考NVIDIA XID文档"
GPU,有,NVIDIA,FATAL,ERROR,NVIDIA卡不可恢复ECC错误,xid140,有,中断,带内,20s,Unrecovered ECC Error，不可恢复的ECC错误,重启机器；持续发生则换卡,是,P0,是,,"nvidia-smi -q -d ECC | grep -i ""uncorrectable""; dmesg | grep -i ""xid.*140"""
GPU,有,NVIDIA,WARN,WARN,,xid141-142,无,无,带内,20s,Reserved，保留未使用,无需处理,否,P2,是,,"dmesg | grep -i ""xid.*14[1-2]""; 参考NVIDIA XID文档"
GPU,有,NVIDIA,WARN,WARN,,xid143,无,无,带内,20s,GPU Initialization Failure，GPU初始化失败,有待商榷；重启机器/重装驱动/换卡,否,P1,是,,"dmesg | grep -i ""xid.*143""; nvidia-smi; lspci -vvv -s "<bus>
GPU,有,Gaudi,WARN,WARN,,ParityError,无,无,带内,20s,带内dmesg/带外都会记录，超过一定阈值会触发RMA（带外监控，FW自动监控是否达到阈值，到阈值会触发RMA置位，一般由BMC监控RMA置位信息），确定RMA了就会返厂重修,有待商榷；关注RMA状态，达到阈值则返厂,否,P2,是,,"dmesg | grep -i ""gaudi.*parity""; ipmitool sel list | grep -i gaudi"
GPU,有,昇腾,FATAL,FAIL,LPM 检测到调压功能异常,Err80E3A201,有,中断,带内,20s,系统温保，EDP控制功能受影响，影响系统可靠性。,电源故障，建议产品检测电源，进行电源检修，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t health -i <id>"; dmesg | grep -i ""ascend.*80E3A201"""
GPU,有,昇腾,FATAL,FAIL,HBM高温告警,Err80E0020B,有,中断,带内,20s,温度过高时HBMC会提升刷新率及流控，影响业务性能。,1.建议检查系统散热情况，加强散热，降低HBM器件温度。<br>2.如果不能降低温度，建议重启SoC后重新检测HBM温度，此时还不能降温，建议硬件送修。,是,P0,是,,npu-smi info -t temp -i <id>; npu-smi info -t health -i <id>
GPU,有,昇腾,FATAL,FAIL,HBM总的多bit ECC隔离地址记录达到64个,Err80E18402,有,中断,带内,20s,HBM故障隔离地址记录达到64个，新增多bit错误将无法隔离，可能会导致启动失败或业务失败。,建议返厂送修。,是,P0,是,,npu-smi info -t ecc -i <id>; npu-smi info -t health -i <id>
GPU,有,昇腾,ERROR,ERROR,昇腾卡DVPP Dispatch多bit ECC错误,Err81478008,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*81478008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡DVPP Dispatch输入错误,Err81478002,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*81478002"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡AIC Dispatch多bitECC错误,Err813B8008,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*813B8008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡AIC Dispatch输入错误,Err813B8002,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*813B8002"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡DSA Dispatch多bitECC错误,Err81938008,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*81938008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡DSA Dispatch输入错误,Err81938002,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*81938002"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡TS多bit ECC错误,Err80C78008,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*80C78008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡SDMAM多bit ECC错误,Err80CF8008,有,中断,带内,20s,SDMA发生多bit ECC，单个任务执行失败。,建议AI任务退出重新执行，若多次失败则建议产品复位SOC。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*80CF8008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡HWTS多bit ECC错误,Err80F78008,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*80F78008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡TS Dispatch多bit ECC错误,Err81338008,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*81338008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡TS Dispatch输入错误,Err81338002,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*81338002"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡TEEDrv侧硬件多bit ECC错误,Err80E78008,有,中断,带内,20s,Flash操作失败；固件升级功能失败。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*80E78008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡HBM内存颗粒访问多bit ECC错误,Err80E01801,有,中断,带内,20s,访问HBM返回错误数据，可能导致NPU启动失败或者业务失败。,1. 建议AI任务退出重新执行，避免后续业务访问到对应预失效页。<br>2.如果后续频繁碰到错误，建议重启进行隔离后，再次开始AI业务。,是,P0,是,,npu-smi info -t ecc -i <id>; npu-smi info -t error -i <id>
GPU,有,昇腾,ERROR,ERROR,昇腾卡HBMA多bit ECC错误,Err80F38008,有,中断,带内,20s,可能导致系统停止响应或返回错误数据。,建议复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t ecc -i <id>; npu-smi info -t error -i <id>
GPU,有,昇腾,ERROR,ERROR,昇腾卡HBMC多bit ECC错误,Err80E18008,有,中断,带内,20s,可能导致系统停止响应或返回错误数据。,建议复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t ecc -i <id>; npu-smi info -t error -i <id>
GPU,有,昇腾,ERROR,ERROR,昇腾卡L2BUFF多bit ECC错误,Err80CD8008,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*80CD8008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡L3T多bit ECC错误,Err80A58008,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*80A58008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡TaishanCore多bit ECC错误,Err80A18008,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*80A18008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡ROCE多bit ECC错误,Err80BB8008,有,中断,带内,20s,数据错误或可能出现一致性错误，断链，可能会导致模块停止响应。,建议AI任务退出重新执行，若多次失败则建议产品复位SOC。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*80BB8008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡PCIE多bit ECC错误,Err80B98008,有,中断,带内,20s,数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*80B98008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡PCIE Dispatch多bitECC错误,Err81978008,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*81978008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡PCIE Dispatch输入错误,Err81978002,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*81978002"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡NIC多bit ECC错误,Err80BD8008,有,中断,带内,20s,报文内容出错或丢失。,建议AI任务退出重新执行，若多次失败则建议产品复位SOC。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*80BD8008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡NIC Dispatch多bit ECC错误,Err81958008,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*81958008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡NIC Dispatch输入错误,Err81958002,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修。,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*81958002"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡PERI Dispatch输入错误,Err815F8002,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*815F8002"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡PERI Dispatch多bit ECC错误,Err815F8008,有,中断,带内,20s,系统停止响应，数据错误或可能出现一致性错误。,建议产品复位SOC，如果故障持续建议返厂送修,是,P0,是,,npu-smi info -t error -i <id>"; dmesg | grep -i ""ascend.*815F8008"""
GPU,有,昇腾,ERROR,ERROR,昇腾卡使能P2P失败,EnableP2PFail,有,无,带内,20s,devdrv_enable_p2p失败，影响业务运行,重启机器；检查驱动版本/内核兼容性,是,P1,是,,npu-smi info -t p2p -i <id>"; dmesg | grep -i ""p2p.*fail"""
GPU,有,昇腾,WARN,WARN,昇腾卡设备汇报不健康,HwDeviceHealth,无,无,带内,20s,具体影响需要看华为错误码,无需处理；参考错误码文档排查,否,P2,是,,npu-smi info -t health -i <id>; 参考昇腾错误码文档
GPU,有,昇腾,WARN,WARN,昇腾卡网络部分有异常事件,HwNetworkHealth,无,无,带内,20s,具体影响需要看网络侧,无需处理；检查网络配置/线缆,否,P2,是,,npu-smi info -t network -i <id>; ethtool -S <nic>
GPU,有,昇腾,WARN,WARN,昇腾卡错误码告警,Err8***,无,无,带内,20s,可忽略错误码,无需处理；参考错误码文档确认,否,P2,是,,npu-smi info -t error -i <id>; 参考昇腾错误码文档
RAID 逻辑盘,无,否,ERROR,ERROR,逻辑盘状态异常,RaidVdNotReady,无,业务中断风险,带内,2小时,逻辑盘处于不可用状态，或因为多次掉盘导致降级,重建逻辑阵列；检查物理盘状态,是,P0,是,,"MegaCli -LDInfo -Lall -aAll; storcli /c0 show; dmesg | grep -i ""raid.*error"""
RAID 逻辑盘,无,否,WARN,ERROR,写缓存为 WT 模式,RaidVdWT,无,性能下降,带内,2小时,逻辑盘写缓存由 WriteBack 变为 WriteThrough，性能下降,关注；检查BBU状态/更换BBU/迁移服务后重新设置缓存模式,是,P1,是,,MegaCli -LDGetProp -Cache -LAll -aAll; storcli /c0/v0 show cache
RAID 逻辑盘,无,否,WARN,ERROR,读缓存为 NRA 模式,RaidVdNra,无,性能下降,带内,2小时,逻辑盘预读模式改变，由 Read Ahead 变 为 No Read Ahead,关注；业务需要时重新设置预读模式,是,P2,是,,MegaCli -LDGetProp -Cache -LAll -aAll; storcli /c0/v0 show cache
RAID 物理盘,无,否,FATAL,FAIL,预测错误,RaidPdPreErr,有,数据丢失风险,带内,2小时,物理硬盘预测错误超过阀值（1），盘即将故障,换件，提前迁移数据,是,P0,是,,"MegaCli -PDList -aAll | grep -A20 ""Slot Number""; storcli /c0/e0/s0 show"
RAID 物理盘,无,否,FATAL,FAIL,其他错误,RaidPdOtherErr,有,业务中断风险,带内,2小时,物理硬盘因接口松动或其他原因导 致 Other Error 报错超过阀值 （500）,换件，检查背板/线缆/重插拔,是,P0,是,,"MegaCli -PDList -aAll | grep -i ""error""; storcli /c0/e0/s0 show"
RAID 物理盘,无,否,FATAL,FAIL,硬盘配置损坏,RaidPdUB,有,业务中断风险,带内,2小时,物理硬盘配置损坏，不能继续使用， Unconfiged Bad 模式,换件；尝试Clear配置后重新加入阵列,是,P0,是,,"MegaCli -PDList -aAll | grep ""Firmware state""; storcli /c0/e0/s0 show"
RAID 物理盘,无,否,FATAL,FAIL,硬盘损坏,RaidPdFailed,有,业务中断/数据丢失,带内,2小时,物理硬盘配置损坏，不能继续使用，或识别失败,换件，优先迁移数据,是,P0,是,,"MegaCli -PDList -aAll | grep ""Failed""; storcli /c0/e0/s0 show | grep State"
RAID 物理盘,无,否,FATAL,FAIL,硬盘丢失,RaidPdMissing,有,业务中断/数据丢失,带内,2小时,物理硬盘无法探测，处于缺失状态,换件，检查背板/线缆/供电,是,P0,是,,"MegaCli -PDList -aAll | grep -i ""missing""; lsscsi; storcli /c0 show"
RAID 物理盘,无,否,FATAL,FAIL,硬盘离线,RaidPdOffline,有,RAID降级风险,带内,2小时,物理盘离线，已被踢出逻辑盘，需要更换,换件，重建阵列,是,P0,是,,"MegaCli -PDList -aAll | grep ""Offline""; storcli /c0/e0/s0 show | grep State"
RAID 物理盘,无,否,WARN,ERROR,,RaidPdMediaErr,无,性能下降,带内,2小时,逻辑盘写缓存由WriteBack变为WriteThrough；性能下降,1.若对性能不敏感，可以忽略<br>2.若对性能敏感，迁移服务，然后重新设置缓存模式,是,P1,是,,"MegaCli -PDList -aAll | grep -i ""media""; storcli /c0/e0/s0 show | grep -i error"
RAID 物理盘,无,否,WARN,ERROR,硬盘未配置,RaidPdUG,无,容量未利用,带内,2小时,物理盘未加入 RAID 整列 Unconfigure Good 模式,加入阵列或标记为热备盘；MegaCli -PDMakeGood -PhysDrv [E:S] -Force -a0,是,P2,是,,"MegaCli -PDList -aAll | grep ""Unconfigured Good""; storcli /c0 show"
RAID 控制器,无,否,FATAL,FAIL,,RaidPsErr,无,RAID功能异常,带内,2小时,RAID控制器故障，阵列管理异常,换件；联系厂商支持,是,P0,是,,"MegaCli -AdpAllInfo -aAll; storcli /c0 show; dmesg | grep -i ""raid.*controller"""
RAID 控制器,无,否,WARN,ERROR,,RaidVdNoBBUCacheErr,无,性能下降,带内,2小时,逻辑盘预读模式改变，由Read Ahead变为 No ReadAhead,1.若对性能不敏感，可以忽略<br>2.若对性能敏感，迁移服务，然后重新设置缓存模式,是,P1,是,,MegaCli -LDGetProp -Cache -LAll -aAll; storcli /c0/v0 show cache
RAID 控制器,无,否,WARN,ERROR,,RaidBBUFailed,无,关机丢数据风险,带内,2小时,BBU故障，写缓存策略降级，异常断电有数据丢失风险,无电池无需关注；有BBU则更换BBU,是,P1,是,,MegaCli -AdpBbuCmd -GetBbuStatus -a0; storcli /c0/bbu show
OCSSD,无,否,WARN,ERROR,,Permission_wrong,无,访问失败风险,带内,2小时,权限模式错误，可能导致IO失败,关注；检查设备权限/用户组配置,是,P2,是,,ls -l /dev/ocssd*; getfacl /dev/ocssd*; id <user>
CPU,无,否,FATAL,FAIL,,ConfigurationError,有,系统无法启动,带外,15分,配置错误，CPU微码/BIOS配置异常,换件；更新BIOS/微码,是,P0,是,,"ipmitool sel list | grep -i ""cpu.*config""; dmidecode -t processor"
CPU,无,否,FATAL,FAIL,,IERR,有,系统宕机,带外,15分,CPU内部错误，硬件故障,换件；分析MCE日志定位根因,是,P0,是,,"ipmitool sel list | grep -i ""ierr""; dmesg | grep -i ""mce|machine check"""
